NU_INSCRICAO,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,SG_UF_NASCIMENTO,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,IN_SURDEZ,IN_SURDO_CEGUEIRA,IN_DEFICIENCIA_FISICA,IN_DEFICIENCIA_MENTAL,IN_DEFICIT_ATENCAO,IN_DISLEXIA,IN_DISCALCULIA,IN_AUTISMO,IN_GESTANTE,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,NU_NOTA_REDACAO,Q001,Q002,Q006,Q025
190001689659,19,M,Solteiro(a),Preta,Brasileiro(a),RS,Estou cursando e concluirei o Ensino Médio em 2019,Não informado,Pública,Ensino Regular,Não,Estadual,Urbana,Em atividade,Não,Não,Não,Não,Não,Não,Não,Não,Não,379.3,509.9,512.6,389.1,Espanhol,Sem problemas,580.0,"Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental.","Completou o Ensino Médio, mas não completou a Faculdade.",2 a 2.5 SM,Sim
190001689667,19,M,Solteiro(a),Branca,Brasileiro(a),RS,Já concluí o Ensino Médio,2017,Não Respondeu,missing value,Não,missing value,missing value,missing value,Não,Não,Não,Não,Não,Não,Não,Não,Não,685.6,703.2,643.5,765.3,Inglês,Sem problemas,980.0,Completou a Pós-graduação.,Completou a Pós-graduação.,4 a 5 SM,Sim
190001689671,18,F,Solteiro(a),Branca,Brasileiro(a),RS,Estou cursando e concluirei o Ensino Médio em 2019,Não informado,Pública,Ensino Regular,Não,Estadual,Urbana,Em atividade,Não,Não,Não,Não,Não,Não,Não,Não,Não,362.9,504.0,519.1,484.8,Espanhol,Sem problemas,540.0,"Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental.","Completou o Ensino Médio, mas não completou a Faculdade.",1 a 1.5 SM,Sim
190001689672,18,M,Solteiro(a),Branca,Brasileiro(a),RS,Estou cursando e concluirei o Ensino Médio em 2019,Não informado,Privada,Ensino Regular,Não,missing value,missing value,missing value,Não,Não,Não,Não,Não,Não,Não,Não,Não,591.7,710.8,678.4,746.8,Inglês,Sem problemas,940.0,"Completou a Faculdade, mas não completou a Pós-graduação.",Completou a Pós-graduação.,Mais de 20 SM,Sim
190001689679,18,F,Solteiro(a),Branca,Brasileiro(a),RS,Estou cursando e concluirei o Ensino Médio em 2019,Não informado,Pública,Ensino Regular,Não,missing value,missing value,missing value,Não,Não,Não,Não,Não,Não,Não,Não,Não,442.2,505.1,520.4,400.3,Inglês,Sem problemas,640.0,"Completou o Ensino Médio, mas não completou a Faculdade.","Completou o Ensino Médio, mas não completou a Faculdade.",1 a 1.5 SM,Sim
190001689685,18,F,Solteiro(a),Preta,Brasileiro(a),RS,Estou cursando e concluirei o Ensino Médio em 2019,Não informado,Pública,Ensino Regular,Não,Estadual,Urbana,Em atividade,Não,Não,Não,Não,Não,Não,Não,Não,Não,484.3,548.0,499.3,455.5,Espanhol,Sem problemas,640.0,"Completou a 8ª série/9º ano do Ensino Fundamental, mas não completou o Ensino Médio.","Completou a 8ª série/9º ano do Ensino Fundamental, mas não completou o Ensino Médio.",1.5 a 2 SM,Sim
190001689695,16,F,Solteiro(a),Branca,Brasileiro(a),RS,Estou cursando e concluirei o Ensino Médio após 2019,Não informado,Não Respondeu,missing value,Sim,missing value,missing value,missing value,Não,Não,Não,Não,Não,Não,Não,Não,Não,554.0,570.8,618.7,593.6,Inglês,Sem problemas,700.0,Completou a Pós-graduação.,Completou a Pós-graduação.,10 a 12 SM,Sim
190001689700,18,M,Solteiro(a),Preta,Brasileiro(a),RS,Estou cursando e concluirei o Ensino Médio em 2019,Não informado,Pública,Ensino Regular,Não,Estadual,Urbana,Em atividade,Não,Não,Não,Não,Não,Não,Não,Não,Não,546.2,624.0,610.6,618.3,Inglês,Sem problemas,800.0,"Completou o Ensino Médio, mas não completou a Faculdade.","Completou a 8ª série/9º ano do Ensino Fundamental, mas não completou o Ensino Médio.",1.5 a 2 SM,Sim
190001689704,18,F,Solteiro(a),Preta,Brasileiro(a),RS,Estou cursando e concluirei o Ensino Médio em 2019,Não informado,Pública,Ensino Regular,Não,Estadual,Urbana,Em atividade,Não,Não,Não,Não,Não,Não,Não,Não,Não,372.1,520.2,518.5,397.3,Espanhol,Sem problemas,600.0,Não completou a 4ª série/5º ano do Ensino Fundamental.,"Completou o Ensino Médio, mas não completou a Faculdade.",1 a 1.5 SM,Não
190001689709,42,F,Casado(a)/Mora com companheiro(a),Branca,Brasileiro(a),RS,Já concluí o Ensino Médio,Antes de 2007,Não Respondeu,Ensino Regular,Não,missing value,missing value,missing value,Não,Não,Não,Não,Não,Não,Não,Não,Não,489.9,609.3,538.3,592.3,Inglês,Sem problemas,620.0,"Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental.","Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental.",1 a 1.5 SM,Sim
